,"Agricola, Georg","Ambrose, Saint, Bishop of Milan","Aquinas, Saint",Aristophanes,Aristotle,"Atkinson, William Walker","Augustine, Saint, Bishop of Hippo","Aurelius, Emperor of Rome","Austen, Jane",Avicenna,"Bacon, Francis","Barrow, Isaac","Bentham, Jeremy","Bergson, Henri","Berkeley, George","Blavatsky, H. P. (Helena Petrovna)",Boethius,"Boole, Mary Everest","Bosanquet, Bernard","Boyle, Robert","Brentano, Franz","Buchanan, James","Bunyan, John","Camus, Jean-Pierre","Carlyle, Thomas","Carnegie, Andrew","Churchill, Winston","Cicero, Marcus Tullius","Cole, Lawrence Thomas","Coleridge, Samuel Taylor",Confucius,"Croce, Benedetto",Dante Alighieri,"Darwin, Charles","Descartes, Rene","Dewey, John","Dickens, Charles",Diogenes Laertius,"Dionysius, of Alexandria, Saint","Dollinger, Johann Joseph Ignaz von",Douglass,"Einstein, Albert","Emerson, Ralph Waldo",Epictetus,"Erasmus, Desiderius",Euclid,Euripides,"Faraday, Michael","Ferri, Enrico","Fitzgerald, F. Scott (Francis Scott)","Fletcher, Horace","Franklin, Benjamin","Frazer, James George",Frege,"Freud, Sigmund","Frothingham, Octavius Brooks","Gandhi, Mahatma","Giovanni, da Parma","Gladden, Washington","Goethe, Johann Wolfgang von","Grimm, Jacob","Grote, George","Haeckel, Ernst","Halevy, Daniel","Harnack, Adolf von","Harrington, James","Hegel, Georg Wilhelm Friedrich",Heidegger,"Herbart, Johann Friedrich","Herschel, John F. W. (John Frederick William)","Hervey, Walter Lowrie","Hesse, Hermann","Hippolytus, Antipope","Hobbes, Thomas","Holbach, Paul Henri Thiry, baron d'",Homer,"Hugel, Friedrich, Freiherr von","Hume, David",Husserl,"Huxley, Thomas Henry",Iamblichus,"James, William","Jefferson, Thomas","Jowett, John Henry","Jung, C. G. (Carl Gustav)","Kafka, Franz","Kant, Immanuel","Keller, Helen","Laplace, Pierre Simon, marquis de","Leibniz, Gottfried Wilhelm, Freiherr von","Liebig, Justus, Freiherr von","Lincoln, Abraham","Livingstone, W. P. (William Pringle)","Locke, John","Lucian, of Samosata","Lucretius Carus, Titus",Luther,"Mach, Ernst","Machiavelli, Niccolo","Maimon, Solomon","Maimonides, Moses","Marx, Karl","Melanchthon, Philipp","Melville, Herman","Michelet, Jules","Mill, John Stuart","Milton, John","Montaigne, Michel de","Moore, G. E. (George Edward)","Mussolini, Benito","Napoleon I, Emperor of the French","Nassau, Robert Hamill","Newton, Isaac","Nietzsche, Friedrich Wilhelm",Nostradamus,"Ober, Charles K. (Charles Kellogg)",Origen,"Orr, Charles Ebert",Oxonian,"Paine, Thomas","Pascal, Blaise",Plato,Plotinus,Plutarch,"Priestley, Joseph",Ptolemy,"Rand, Ayn","Roosevelt, Theodore","Rousseau, Jean-Jacques","Russell, Bertrand",Sartre,"Schiller, Friedrich","Schlegel, Friedrich von","Schopenhauer, Arthur","Schwegler, Albert","Seneca, Lucius Annaeus","Shakespeare, William","Sidgwick, Henry","Smith, Adam",Sophocles,"Spinoza, Benedictus de","Spurgeon, Caroline F. E. (Caroline Frances Eleanor)","Stoughton, John","Strauss, David Friedrich","Swedenborg, Emanuel","Taft, William H. (William Howard)","Taine, Hippolyte",Theophrastus,"Thoreau, Henry David","Tocqueville, Alexis de","Toland, John","Tolstoy, Leo, graf",Turing,"Twain, Mark","Tylor, Edward B. (Edward Burnett)","Tyndall, John","Venn, John",Virgil,Voltaire,"Wesley, John","Whewell, William","Whitefield, George","Whitehead, Alfred North","Whitman, Walt","Wilde, Oscar",Wittgenstein,"Wundt, Wilhelm Max",Xenophon
"Keller, Helen",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laplace, Pierre Simon, marquis de",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leibniz, Gottfried Wilhelm, Freiherr von",0,2,15,0,73,0,69,1,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,72,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,2,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,36,0,13,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liebig, Justus, Freiherr von",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lincoln, Abraham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Locke, John",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lucian, of Samosata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luther,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mach, Ernst",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2,0,0,2,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,2,0,0,2,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,2,0,0,0,0,0,7,2
"Machiavelli, Niccolo",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
"Maimon, Solomon",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maimonides, Moses",0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marx, Karl",0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Melanchthon, Philipp",0,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melville, Herman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michelet, Jules",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Mill, John Stuart",0,0,0,0,102,5,0,0,0,0,0,0,76,0,28,0,0,0,0,0,1,0,0,0,8,0,0,4,0,31,0,0,0,11,42,0,0,9,1,0,0,0,0,0,0,52,0,6,0,0,0,5,0,0,0,1,0,0,0,1,0,13,0,0,0,0,4,0,0,24,0,0,0,85,0,1,0,31,0,4,0,0,0,0,0,0,15,0,37,0,16,0,0,73,1,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,125,0,0,0,0,0,0,0,0,68,0,1,4,4,0,0,7,0,0,0,0,0,0,0,0,1,49,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,6,0,2,0,317,0,0,0,0,0,0,2
"Milton, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montaigne, Michel de",0,0,2,0,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,1,0,0,0,0,8,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116,0,38,0,0,0,0,3,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,7
